Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert,walkscore,ws_link
910690130,91,48.438047,2.354354,IME Léopold Bellan,750720609,Fondation Léopold Bellan,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,85,1967,0,https://www.walkscore.com/score/loc/lat=48.43805/lng=2.354354/
910690148,91,48.674845,2.364643,IME Arc En Ciel,750806523,La maison maternelle,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,N/D,73,https://www.walkscore.com/score/loc/lat=48.67484/lng=2.364643/
910690171,91,48.431731,2.160166,IME La Feuilleraie,910707645,Association AAPISE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1971,92,https://www.walkscore.com/score/loc/lat=48.43173/lng=2.160166/
910690197,91,48.680902,2.41482,IME les Pampoux,910707777,Les Papillons blancs de l’Essonne,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,90,N/D,61,https://www.walkscore.com/score/loc/lat=48.6809/lng=2.41482/
910690205,91,48.702226,2.353748,IME Page d’Écriture,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,N/D,70,https://www.walkscore.com/score/loc/lat=48.70223/lng=2.353748/
910690213,91,48.677739,2.335658,IME Sillery,910808773,Fond franco-britannique de Sillery,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,72,1969,56,https://www.walkscore.com/score/loc/lat=48.67774/lng=2.335658/
910701275,91,48.730079,2.247869,IME André Nouaille,910707660,Association Pupilles Enseignement Public,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1975,68,https://www.walkscore.com/score/loc/lat=48.73008/lng=2.247869/
910701333,91,48.709594,2.245091,IME Roger Lecherbonnier,910707660,Association Pupilles Enseignement Public,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,70,1975,84,https://www.walkscore.com/score/loc/lat=48.70959/lng=2.245091/
910707397,91,48.584525,2.230745,IME La Guillemaine,910707645,Association AAPISE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,61,1977,41,https://www.walkscore.com/score/loc/lat=48.58452/lng=2.230745/
910805365,91,48.509327999999996,2.459024,IME le Buisson,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,1967,6,https://www.walkscore.com/score/loc/lat=48.50933/lng=2.459024/
