Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert
920690021,92,48.913493,2.289825,IME Centre Étienne Marcel,750825960,Association du Centre Étienne Marcel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,30,1992
920690047,92,48.834889,2.240993,IME EMP Georges Sorel,750721334,Croix Rouge Française,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,30,1962
920690054,92,48.779351,2.307949,IME EMP Bourg La Reine,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,44,1969
920690096,92,48.79842,2.292764,IME le Cèdre,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,24,1967
920690104,92,48.799192,2.291403,IME Espoir Châtillonnais,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,30,1961
920690112,92,48.805889,2.263948,IME le Fil de Soi,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1962
920690120,92,48.898533,2.309205,IME EMP les Tilleuls,920800281,APEI de la boucle de la Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,38,1971
920690138,92,48.91236,2.247397,EMP Pierre Huet,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1968
920690146,92,48.912611,2.248418,EMPro HOVIA Colombes,750721029,Association HOVIA,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1968
920690153,92,48.921287,2.258951,IME La Dauphinelle,920800281,APEI de la boucle de la Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,85,1965
920690187,92,48.896894,2.28326,EMP Europe,920718459,ASS la Résidence sociale,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,70,1958
920690203,92,48.812574,2.327665,IMP,920001179,Aides aux enfants en difficulté AEDI,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,36,1983
920690211,92,48.895687,2.208658,IME Balzac,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,65,1965
920690245,92,48.858751,2.217753,IME Léonce Malecot,920718186,Papillons blancs de la Colline,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,32,1972
920690286,92,48.819921,2.194406,IME les Peupliers,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,85,1966
920690302,92,48.868189,2.211296,Sipfp de Suresnes,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,49,1969
920690351,92,48.884649,2.263809,IME IMPro le Phare,920800976,UNAPEI Hauts de Seine,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,55,1964
920800133,92,48.841678,2.207219,EMP les Avelines,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1970
920812559,92,48.766863,2.254341,IME externalisé SISS Appédia,920718186,Papillons blancs de la Colline,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1991
920814795,92,48.779393,2.31901,IME l'Alternance,920809829,Fondation Perce-Neige,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,18,1993
930001631,93,48.933224,2.35682,IME Adam Shelton,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,27,1999
930007448,93,48.862781,2.495252,IME le Soleil d'Or,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,19,2006
930025507,93,48.964072,2.537487,IME Soubiran,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,52,2016
930030630,93,48.960047,2.395799,IME le Relais Île de France,750721391,Fondation de l’Elan retrouvé,63,Fondation,Fondation,9,"ARS PCD mixte (2 arrétés), habilité aide sociale",9,2021
930690011,93,48.917945,2.40204,IME Romain Rolland,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,65,1967
930690037,93,48.922748,2.503707,EMP René Lalouette,930813415,Association AGESTL,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1961
